sample_idx,min_ade,min_fde,best_ade_k,best_fde_k,conf_ade,conf_fde,conf_k,conf_prob
1326,0.12630394101142883,0.023878637701272964,5,5,0.12630394101142883,0.023878637701272964,5,0.8613542318344116
2639,0.12012597918510437,0.07322429120540619,1,1,0.12012597918510437,0.07322429120540619,1,0.9372746348381042
339,0.08491022139787674,0.09895041584968567,1,1,0.08491022139787674,0.09895041584968567,1,0.9969792366027832
2887,4.107407093048096,11.554887771606445,0,0,12.245162963867188,24.2412052154541,3,0.9692496061325073
2922,2.430525064468384,3.4381017684936523,3,3,2.430525064468384,3.4381017684936523,3,0.990496039390564
3047,0.442363977432251,0.5466412901878357,1,1,0.442363977432251,0.5466412901878357,1,0.5389782190322876
2464,0.07126623392105103,0.14266470074653625,1,1,0.07126623392105103,0.14266470074653625,1,0.7919638752937317
2056,0.03338188678026199,0.03482631966471672,1,1,0.03338188678026199,0.03482631966471672,1,0.9184041619300842
1366,0.03553859516978264,0.03046531416475773,1,1,0.03553859516978264,0.03046531416475773,1,0.56541508436203
1395,0.03952972963452339,0.08070441335439682,1,1,0.03952972963452339,0.08070441335439682,1,0.9900738000869751
966,0.03451501950621605,0.11596599221229553,1,1,0.03451501950621605,0.11596599221229553,1,0.8118305802345276
3237,0.032809894531965256,0.08142413198947906,1,1,0.032809894531965256,0.08142413198947906,1,0.9877910614013672
1505,0.12124019116163254,0.10053054988384247,1,1,0.12124019116163254,0.10053054988384247,1,0.8135806322097778
1432,0.055266860872507095,0.12227532267570496,1,1,0.055266860872507095,0.12227532267570496,1,0.8316068053245544
1301,0.9197320342063904,2.223123550415039,3,3,0.9197320342063904,2.223123550415039,3,0.4062959551811218
1920,3.3013627529144287,5.403685569763184,3,3,3.3013627529144287,5.403685569763184,3,0.9750773310661316
7,0.21651871502399445,0.3074355125427246,5,5,0.25619566440582275,0.37217825651168823,1,0.723108172416687
924,0.03732879459857941,0.09497782588005066,1,1,0.03732879459857941,0.09497782588005066,1,0.9904153347015381
2578,0.08229802548885345,0.14868322014808655,5,5,0.0835583284497261,0.17081035673618317,1,0.7917755246162415
1427,0.03952164575457573,0.061271559447050095,1,1,0.03952164575457573,0.061271559447050095,1,0.8339840173721313
3393,2.12487530708313,4.145754337310791,0,0,2.12487530708313,4.145754337310791,0,0.8256456851959229
2009,0.028107427060604095,0.042702190577983856,1,1,0.028107427060604095,0.042702190577983856,1,0.950853705406189
2924,1.3928579092025757,1.5748652219772339,3,3,1.3928579092025757,1.5748652219772339,3,0.9982043504714966
2240,0.031928714364767075,0.048664942383766174,1,1,0.031928714364767075,0.048664942383766174,1,0.9964156150817871
3367,0.06366639584302902,0.061361804604530334,5,5,0.06366639584302902,0.061361804604530334,5,0.47903555631637573
2438,0.12326159328222275,0.4300941824913025,1,1,0.12326159328222275,0.4300941824913025,1,0.6519841551780701
610,1.7083592414855957,2.380796432495117,4,4,2.5861165523529053,3.9879326820373535,1,0.8258238434791565
916,0.0372033528983593,0.09524848312139511,1,1,0.0372033528983593,0.09524848312139511,1,0.990420401096344
1548,0.0403498075902462,0.043604638427495956,1,1,0.0403498075902462,0.043604638427495956,1,0.796510636806488
1526,0.05758078768849373,0.08808086812496185,1,1,0.05758078768849373,0.08808086812496185,1,0.8973697423934937
3321,0.940284013748169,1.4026225805282593,2,2,8.670397758483887,13.567898750305176,3,0.663707971572876
1524,0.1109328344464302,0.1716768443584442,5,5,0.2304503470659256,0.37036454677581787,1,0.5423254370689392
991,6.116781234741211,11.56091594696045,3,3,13.054770469665527,31.026744842529297,0,0.81358402967453
2405,0.12336451560258865,0.10468608140945435,1,1,0.12336451560258865,0.10468608140945435,1,0.68101567029953
794,0.06586319953203201,0.13667717576026917,1,1,0.06586319953203201,0.13667717576026917,1,0.9139066338539124
2983,0.0863785371184349,0.21583807468414307,1,1,0.0863785371184349,0.21583807468414307,1,0.9597823619842529
2007,0.3004302978515625,0.48038241267204285,1,1,0.3004302978515625,0.48038241267204285,1,0.9689609408378601
396,0.8435564041137695,0.38430145382881165,5,1,0.8435564041137695,2.0948190689086914,5,0.3558041751384735
1717,0.7316291928291321,1.5925654172897339,4,4,1.6298857927322388,2.794665813446045,2,0.2742750346660614
2005,0.08086096495389938,0.08449482172727585,1,1,0.08086096495389938,0.08449482172727585,1,0.9029226303100586
621,0.17849397659301758,0.24060221016407013,5,5,0.17849397659301758,0.24060221016407013,5,0.8423144817352295
281,0.08256471157073975,0.044943805783987045,1,1,0.08256471157073975,0.044943805783987045,1,0.7810830473899841
1551,0.03679687902331352,0.041695740073919296,1,1,0.03679687902331352,0.041695740073919296,1,0.8180884122848511
80,0.04550290107727051,0.05533955991268158,1,1,0.04550290107727051,0.05533955991268158,1,0.9932141304016113
1818,0.05027127265930176,0.1135743260383606,1,1,0.05027127265930176,0.1135743260383606,1,0.9868454933166504
269,0.058204080909490585,0.12638427317142487,1,1,0.058204080909490585,0.12638427317142487,1,0.9670990109443665
3020,0.047580257058143616,0.09981469064950943,1,1,0.047580257058143616,0.09981469064950943,1,0.9972648620605469
3496,0.6162674427032471,0.684783935546875,0,0,0.6162674427032471,0.684783935546875,0,0.5235888361930847
429,0.10941338539123535,0.15907327830791473,5,5,0.2500494718551636,0.33263641595840454,1,0.7895824909210205
246,1.1938756704330444,2.641035795211792,0,0,1.1938756704330444,2.641035795211792,0,0.6920149922370911
1457,0.07559739798307419,0.12287537753582001,1,1,0.07559739798307419,0.12287537753582001,1,0.8473063111305237
705,2.240919589996338,5.942601203918457,3,2,4.64570951461792,13.22683334350586,5,0.46005779504776
2132,0.09180306643247604,0.1786012202501297,1,1,0.09180306643247604,0.1786012202501297,1,0.6824363470077515
2426,0.09703042358160019,0.09575130045413971,5,5,0.09703042358160019,0.09575130045413971,5,0.9964084029197693
439,0.24071894586086273,0.3607009947299957,1,1,0.24071894586086273,0.3607009947299957,1,0.6650745272636414
2031,0.08106086403131485,0.1447310447692871,1,1,0.08106086403131485,0.1447310447692871,1,0.8843550086021423
2982,0.2510489821434021,0.33060622215270996,1,1,0.2510489821434021,0.33060622215270996,1,0.5824194550514221
2063,0.033676277846097946,0.03788074851036072,1,1,0.033676277846097946,0.03788074851036072,1,0.9041244983673096
1280,0.04086625576019287,0.05162843316793442,1,1,0.04086625576019287,0.05162843316793442,1,0.9256513714790344
2499,0.18690888583660126,0.10746616125106812,5,5,0.18690888583660126,0.10746616125106812,5,0.5739210247993469
1361,0.03407127410173416,0.02591715380549431,1,1,0.03407127410173416,0.02591715380549431,1,0.5982882976531982
939,1.905311942100525,2.3375906944274902,0,0,4.092886447906494,14.171677589416504,3,0.7600878477096558
2066,0.039328284561634064,0.08544536679983139,1,1,0.039328284561634064,0.08544536679983139,1,0.9839723110198975
3242,0.02704027108848095,0.03702894598245621,1,1,0.02704027108848095,0.03702894598245621,1,0.9862651228904724
3137,0.16908587515354156,0.4016796052455902,5,5,0.16908587515354156,0.4016796052455902,5,0.5993333458900452
338,0.08695504814386368,0.13830937445163727,1,1,0.08695504814386368,0.13830937445163727,1,0.9970701932907104
1999,0.276294082403183,0.25973251461982727,1,1,0.276294082403183,0.25973251461982727,1,0.938998818397522
